student_id,item_id,question_type,round_no,raw_score,response_ms,answered_at,reverse_item,min_score,max_score,weight,current_level_grade,current_math_percentile,response_id,item_text,trait,round_label
2446ef63-079f-4d09-ba1e-9b26aa274755,e7bfe56b-2a4c-4737-a1d3-9d44ce98d011,scale,1,6.0,6409.0,2026-01-30T03:51:11.840224+00:00,N,1.0,10.0,1.0,2,,b6334700-a7d9-4e4a-b3db-961f04d58ee3,틀린 이유를 스스로 설명할 수 있다고 느낀다.,,사전 조사
2446ef63-079f-4d09-ba1e-9b26aa274755,778ab9c4-a45c-4199-a7e2-8db73a800397,scale,1,8.0,5717.0,2026-01-30T03:52:53.846799+00:00,N,1.0,10.0,1.0,2,,b6334700-a7d9-4e4a-b3db-961f04d58ee3,"수학에서 한 번 잘 안 풀린 날이 있어도, 다음에는 다시 괜찮아질 수 있다고 생각한다.",,사전 조사
561d973a-baa1-4777-979f-d45c8bb6f038,1c6546cb-979e-44d0-b257-1cbf86a17b9c,scale,1,5.0,20354.0,2026-01-30T06:12:17.032992+00:00,N,1.0,10.0,1.0,2,,eab0d644-d99a-4a98-999f-a2b1e99378c5,수학 시험에서는 어떤 문제가 나오느냐가 성적을 좌우하는 경우가 많다고 느낀다.,,사전 조사
561d973a-baa1-4777-979f-d45c8bb6f038,ed872416-aac9-46f2-8dc0-61a8e7a8b580,scale,1,4.0,5724.0,2026-01-30T06:12:29.419548+00:00,N,1.0,10.0,1.0,2,,eab0d644-d99a-4a98-999f-a2b1e99378c5,수학 성적은 개인의 노력보다 시험 환경이나 조건에 더 크게 영향을 받는다고 생각한다.,,사전 조사
561d973a-baa1-4777-979f-d45c8bb6f038,f441e53b-223e-446a-bd68-83c52a739bb3,scale,1,5.0,15014.0,2026-01-30T06:12:50.026649+00:00,N,1.0,10.0,1.0,2,,eab0d644-d99a-4a98-999f-a2b1e99378c5,나는 수학 문제를 이해하는 속도가 빠른 편이라고 느낀다.,,사전 조사
561d973a-baa1-4777-979f-d45c8bb6f038,ae21071b-8af5-4f2e-91fd-a2e309e049e6,scale,1,7.0,8167.0,2026-01-30T06:13:06.582201+00:00,N,1.0,10.0,1.0,2,,eab0d644-d99a-4a98-999f-a2b1e99378c5,"지금은 잘 못하는 수학 내용도, 시간이 지나면 이해하게 될 수 있다고 생각한다.",,사전 조사
561d973a-baa1-4777-979f-d45c8bb6f038,a64224be-2b3e-4a16-ab9e-512b9d40fb33,scale,1,6.0,4832.0,2026-01-30T06:13:21.232695+00:00,N,1.0,10.0,1.0,2,,eab0d644-d99a-4a98-999f-a2b1e99378c5,생각이 이어질 때 즐겁다고 느낀다.,,사전 조사
561d973a-baa1-4777-979f-d45c8bb6f038,039091ed-0d7b-4e55-9d29-4e05f1b3b9d2,scale,1,5.0,5678.0,2026-01-30T06:13:44.734026+00:00,Y,1.0,10.0,1.0,2,,eab0d644-d99a-4a98-999f-a2b1e99378c5,수학 실력은 타고난 재능의 영향이 크다고 느낀다.,,사전 조사
3927cdf4-863b-41f6-9057-d56b9f9049d1,97f11d1b-b881-41a5-851a-a611a61ac06e,scale,1,3.0,28188.0,2026-01-30T06:22:48.690432+00:00,Y,1.0,10.0,1.0,2,,f5f6e588-45d0-4b58-94e4-e236f108e05c,수학은 나와는 거리가 먼 과목처럼 느껴진다.,,사전 조사
3927cdf4-863b-41f6-9057-d56b9f9049d1,0975ef15-3056-4dbf-a4cc-7bc50b391c9b,scale,1,7.0,10708.0,2026-01-30T06:26:26.322335+00:00,N,1.0,10.0,1.0,2,,f5f6e588-45d0-4b58-94e4-e236f108e05c,수학은 정답을 맞히는 것보다 이해하는 과정이 더 중요하다고 생각한다.,,사전 조사
37b66d93-3eee-4b30-b714-d4ee6fd84ff2,039091ed-0d7b-4e55-9d29-4e05f1b3b9d2,scale,1,1.0,2747.0,2026-01-30T03:01:11.501239+00:00,Y,1.0,10.0,1.0,1,,7b58e6de-6996-4265-9466-bcca2b835075,수학 실력은 타고난 재능의 영향이 크다고 느낀다.,,사전 조사
37b66d93-3eee-4b30-b714-d4ee6fd84ff2,25079046-d422-40c6-9e41-e62d8cc6f82f,scale,1,10.0,2072.0,2026-01-30T03:01:32.240043+00:00,N,1.0,10.0,1.0,1,,7b58e6de-6996-4265-9466-bcca2b835075,수학 문제를 풀 때 '왜 그런지' 스스로에게 질문하는 것이 중요하다고 생각한다.,,사전 조사
37b66d93-3eee-4b30-b714-d4ee6fd84ff2,f2646d02-b8a0-4e05-8dcb-8c66baaa4027,scale,1,10.0,2012.0,2026-01-30T03:01:45.713211+00:00,N,1.0,10.0,1.0,1,,7b58e6de-6996-4265-9466-bcca2b835075,"수학이 잘 안될 때, 다른 방법으로 다시 시도해볼 수 있다고 느낀다.",,사전 조사
37b66d93-3eee-4b30-b714-d4ee6fd84ff2,0975ef15-3056-4dbf-a4cc-7bc50b391c9b,scale,1,10.0,1732.0,2026-01-30T03:02:06.862344+00:00,N,1.0,10.0,1.0,1,,7b58e6de-6996-4265-9466-bcca2b835075,수학은 정답을 맞히는 것보다 이해하는 과정이 더 중요하다고 생각한다.,,사전 조사
37b66d93-3eee-4b30-b714-d4ee6fd84ff2,5f93db2e-a862-4382-9c0e-58153137a67a,scale,1,10.0,3586.0,2026-01-30T03:02:24.113714+00:00,N,1.0,10.0,1.0,1,,7b58e6de-6996-4265-9466-bcca2b835075,틀린 문제를 다시 생각해보는 과정이 도움이 된다고 느낀다.,,사전 조사
37b66d93-3eee-4b30-b714-d4ee6fd84ff2,c33c95a7-e6f7-4f6e-8d3a-bd2eab138a08,scale,1,1.0,3324.0,2026-01-30T03:02:42.156185+00:00,Y,1.0,10.0,1.0,1,,7b58e6de-6996-4265-9466-bcca2b835075,시간을 들여 공부해도 수학 성적이 잘 오르지 않는다고 느낀다.,,사전 조사
